Package Name,Versions,Total Services,License,Description,Homepage,Repository,Dev Dependency,Services Using
@aws-cdk/aws-cloudfront,1.165.0,1,Apache-2.0,"The CDK Construct Library for AWS::CloudFront",https://github.com/aws/aws-cdk,git+https://github.com/aws/aws-cdk.git,No,""cloned-repos/airtimemedia/gaming-shared-cdk""
@aws-cdk/aws-cloudfront-origins,1.165.0,1,Apache-2.0,"The CDK Construct Library for AWS CloudFront Origins",https://github.com/aws/aws-cdk,git+https://github.com/aws/aws-cdk.git,No,""cloned-repos/airtimemedia/gaming-shared-cdk""
@aws-cdk/aws-cloudwatch,1.166.1; 1.165.0,1,Apache-2.0,"The CDK Construct Library for AWS::CloudWatch",https://github.com/aws/aws-cdk,git+https://github.com/aws/aws-cdk.git,No,""cloned-repos/airtimemedia/gaming-shared-cdk""
@aws-cdk/aws-codebuild,1.165.0,1,Apache-2.0,"The CDK Construct Library for AWS::CodeBuild",https://github.com/aws/aws-cdk,git+https://github.com/aws/aws-cdk.git,No,""cloned-repos/airtimemedia/gaming-shared-cdk""
@aws-cdk/aws-codecommit,1.165.0,1,Apache-2.0,"The CDK Construct Library for AWS::CodeCommit",https://github.com/aws/aws-cdk,git+https://github.com/aws/aws-cdk.git,No,""cloned-repos/airtimemedia/gaming-shared-cdk""
@aws-cdk/aws-codeguruprofiler,1.166.1; 1.165.0,1,Apache-2.0,"The CDK Construct Library for AWS::CodeGuruProfiler",https://github.com/aws/aws-cdk,git+https://github.com/aws/aws-cdk.git,No,""cloned-repos/airtimemedia/gaming-shared-cdk""
@aws-cdk/aws-codepipeline,1.165.0,1,Apache-2.0,"Better interface to AWS Code Pipeline",https://github.com/aws/aws-cdk,git+https://github.com/aws/aws-cdk.git,No,""cloned-repos/airtimemedia/gaming-shared-cdk""
@aws-cdk/aws-codestarnotifications,1.166.1; 1.165.0,1,Apache-2.0,"The CDK Construct Library for AWS::CodeStarNotifications",https://github.com/aws/aws-cdk,git+https://github.com/aws/aws-cdk.git,No,""cloned-repos/airtimemedia/gaming-shared-cdk""
@aws-cdk/aws-cognito,1.165.0,1,Apache-2.0,"The CDK Construct Library for AWS::Cognito",https://github.com/aws/aws-cdk,git+https://github.com/aws/aws-cdk.git,No,""cloned-repos/airtimemedia/gaming-shared-cdk""
@aws-cdk/aws-dynamodb,1.165.0,1,Apache-2.0,"The CDK Construct Library for AWS::DynamoDB",https://github.com/aws/aws-cdk,git+https://github.com/aws/aws-cdk.git,No,""cloned-repos/airtimemedia/gaming-shared-cdk""
@aws-cdk/aws-ec2,1.166.1; 1.165.0,1,Apache-2.0,"The CDK Construct Library for AWS::EC2",https://github.com/aws/aws-cdk,git+https://github.com/aws/aws-cdk.git,No,""cloned-repos/airtimemedia/gaming-shared-cdk""
