"_messagetimems","_messagetime","maxLatency","_raw"
"1727208851000","09/24/2024 13:14:11.000 -0700","30","Sep 24 20:14:11 merced-i-059d0f7563b3e2d9c-us-east-1 run[6198]: <info>2024/09/24 20:14:11.649[vm-preemption-detector.mjs:69] [main] VM Preemption Report: {""totalCallbacks"":29755,""lateCallbacks"":32,""latePercentage"":0.10754495042849942,""latencyPercentiles"":{""p50"":24,""p90"":29,""p99"":30},""avgLatency"":23.9375,""maxLatency"":30,""timestamp"":""2024-09-24T20:14:11.649Z""}"
"1727208784000","09/24/2024 13:13:04.000 -0700","29","Sep 24 20:13:04 merced-i-0a93371fbb112983d-us-east-1 run[6069]: <info>2024/09/24 20:13:04.737[vm-preemption-detector.mjs:69] [main] VM Preemption Report: {""totalCallbacks"":29761,""lateCallbacks"":37,""latePercentage"":0.12432377944289506,""latencyPercentiles"":{""p50"":21,""p90"":26,""p99"":29},""avgLatency"":21.45945945945946,""maxLatency"":29,""timestamp"":""2024-09-24T20:13:04.737Z""}"
"1727208551000","09/24/2024 13:09:11.000 -0700","29","Sep 24 20:09:11 merced-i-059d0f7563b3e2d9c-us-east-1 run[6198]: <info>2024/09/24 20:09:11.648[vm-preemption-detector.mjs:69] [main] VM Preemption Report: {""totalCallbacks"":29763,""lateCallbacks"":29,""latePercentage"":0.09743641433995229,""latencyPercentiles"":{""p50"":24,""p90"":28,""p99"":29},""avgLatency"":23.24137931034483,""maxLatency"":29,""timestamp"":""2024-09-24T20:09:11.648Z""}"
"1727208484000","09/24/2024 13:08:04.000 -0700","28","Sep 24 20:08:04 merced-i-0a93371fbb112983d-us-east-1 run[6069]: <info>2024/09/24 20:08:04.737[vm-preemption-detector.mjs:69] [main] VM Preemption Report: {""totalCallbacks"":29763,""lateCallbacks"":30,""latePercentage"":0.10079629069650238,""latencyPercentiles"":{""p50"":23,""p90"":27,""p99"":28},""avgLatency"":22.933333333333334,""maxLatency"":28,""timestamp"":""2024-09-24T20:08:04.737Z""}"
"1727208251000","09/24/2024 13:04:11.000 -0700","33","Sep 24 20:04:11 merced-i-059d0f7563b3e2d9c-us-east-1 run[6198]: <info>2024/09/24 20:04:11.649[vm-preemption-detector.mjs:69] [main] VM Preemption Report: {""totalCallbacks"":29764,""lateCallbacks"":29,""latePercentage"":0.09743314070689423,""latencyPercentiles"":{""p50"":23,""p90"":29,""p99"":33},""avgLatency"":23.79310344827586,""maxLatency"":33,""timestamp"":""2024-09-24T20:04:11.649Z""}"
"1727208184000","09/24/2024 13:03:04.000 -0700","29","Sep 24 20:03:04 merced-i-0a93371fbb112983d-us-east-1 run[6069]: <info>2024/09/24 20:03:04.737[vm-preemption-detector.mjs:69] [main] VM Preemption Report: {""totalCallbacks"":29760,""lateCallbacks"":34,""latePercentage"":0.114247311827957,""latencyPercentiles"":{""p50"":23,""p90"":29,""p99"":29},""avgLatency"":22.735294117647058,""maxLatency"":29,""timestamp"":""2024-09-24T20:03:04.737Z""}"
"1727207951000","09/24/2024 12:59:11.000 -0700","30","Sep 24 19:59:11 merced-i-059d0f7563b3e2d9c-us-east-1 run[6198]: <info>2024/09/24 19:59:11.649[vm-preemption-detector.mjs:69] [main] VM Preemption Report: {""totalCallbacks"":29767,""lateCallbacks"":28,""latePercentage"":0.09406389626096012,""latencyPercentiles"":{""p50"":23,""p90"":29,""p99"":30},""avgLatency"":23.25,""maxLatency"":30,""timestamp"":""2024-09-24T19:59:11.649Z""}"
"1727207884000","09/24/2024 12:58:04.000 -0700","30","Sep 24 19:58:04 merced-i-0a93371fbb112983d-us-east-1 run[6069]: <info>2024/09/24 19:58:04.737[vm-preemption-detector.mjs:69] [main] VM Preemption Report: {""totalCallbacks"":29758,""lateCallbacks"":34,""latePercentage"":0.11425499025472141,""latencyPercentiles"":{""p50"":21,""p90"":29,""p99"":30},""avgLatency"":22.11764705882353,""maxLatency"":30,""timestamp"":""2024-09-24T19:58:04.737Z""}"
"1727207651000","09/24/2024 12:54:11.000 -0700","30","Sep 24 19:54:11 merced-i-059d0f7563b3e2d9c-us-east-1 run[6198]: <info>2024/09/24 19:54:11.649[vm-preemption-detector.mjs:69] [main] VM Preemption Report: {""totalCallbacks"":29768,""lateCallbacks"":30,""latePercentage"":0.10077936038699274,""latencyPercentiles"":{""p50"":23,""p90"":26,""p99"":30},""avgLatency"":22.266666666666666,""maxLatency"":30,""timestamp"":""2024-09-24T19:54:11.649Z""}"
"1727207584000","09/24/2024 12:53:04.000 -0700","33","Sep 24 19:53:04 merced-i-0a93371fbb112983d-us-east-1 run[6069]: <info>2024/09/24 19:53:04.737[vm-preemption-detector.mjs:69] [main] VM Preemption Report: {""totalCallbacks"":29759,""lateCallbacks"":33,""latePercentage"":0.11089082294431936,""latencyPercentiles"":{""p50"":22,""p90"":27,""p99"":33},""avgLatency"":22.484848484848484,""maxLatency"":33,""timestamp"":""2024-09-24T19:53:04.737Z""}"
