================================================================================
ONE-WAY LATENCY ANALYSIS (BIXBY → MASTER)
================================================================================
Time Period: 2025-09-07T00:00:02+00:00 to 2025-09-27T07:21:55+00:00
Matched Entries: 4,156,756
Measurement: Bixby send time → Master receive time
================================================================================

OVERALL STATISTICS
--------------------------------------------------------------------------------
Count:       4,156,756
Min:             0.000 ms
Median:          6.000 ms
Max:         46980.000 ms
P99:           145.000 ms
P99.9:         151.000 ms
P99.99:      24425.298 ms

HOURLY STATISTICS
--------------------------------------------------------------------------------
Hour                    Count      Min   Median      Max      P99    P99.9   P99.99
--------------------------------------------------------------------------------
2025-09-15 16:00        9,073     0.00     5.00   305.00   146.00   147.00   239.68
2025-09-15 17:00        9,402     0.00     5.00 27188.00   146.00   212.59 24788.87
2025-09-15 18:00        9,032     0.00     5.00 28359.00   146.00   188.94 26944.74
2025-09-15 19:00        9,004     0.00     5.00   338.00   144.00   174.98   332.60
2025-09-15 20:00        8,476     0.00     5.00   379.00   144.00   214.50   262.05
2025-09-15 21:00        8,753     0.00     5.00 21744.00   144.00   157.99 19995.35
2025-09-15 22:00        8,617     0.00     5.00 25034.00   145.00   231.00 24498.08
2025-09-15 23:00        8,658     0.00     5.00   146.00   144.00   145.00   146.00
2025-09-16 00:00        8,584     0.00     5.00 22141.00   145.00   211.09 22079.20
2025-09-16 01:00        8,526     0.00     5.00   250.00   146.00   162.20   249.15
2025-09-16 02:00        8,440     0.00     5.00   247.00   146.00   146.56   217.46
2025-09-16 03:00        8,397     0.00     5.00   351.00   146.00   193.91   282.15
2025-09-16 04:00        8,427     0.00     5.00   301.00   146.00   247.57   298.47
2025-09-16 05:00        8,025     0.00     6.00 23376.00   146.00   316.93 22625.76
2025-09-16 06:00        7,829     0.00     6.00 13993.00   144.00   146.00 13314.31
2025-09-16 07:00        8,677     0.00     5.00 24193.00   144.00   145.00 22525.47
2025-09-16 08:00        9,018     0.00     5.00   247.00   144.00   148.98   243.39
2025-09-16 09:00        9,035     0.00     5.00 27828.00   147.00   227.86 27690.68
2025-09-16 10:00        8,957     0.00     5.00 20104.00   146.00   147.00 20060.12
2025-09-16 11:00        9,360     0.00     5.00 25045.00   145.41   148.00 22358.03
2025-09-16 12:00        9,205     0.00     5.00 24418.00   144.00   145.00 23608.05
2025-09-16 13:00        9,155     0.00     5.00 25768.00   145.00   225.92 24915.76
2025-09-16 14:00        8,917     0.00     5.00 23748.00   147.00   255.26 23523.32
2025-09-16 15:00        8,968     0.00     5.00 24136.00   147.00   252.10 21609.10
2025-09-16 16:00        9,144     0.00     5.00 21704.00   145.00   226.57 19530.71
2025-09-16 17:00        9,739     0.00     5.00 23121.00   145.00   148.00 21871.62
2025-09-16 18:00        9,631     0.00     5.00 26097.00   145.00   164.22 26069.07
2025-09-16 19:00        9,354     0.00     5.00 27374.00   144.00   148.00 27018.59
2025-09-16 20:00        8,619     0.00     5.00 27438.00   145.00   269.08 27248.40
2025-09-16 21:00        9,023     0.00     5.00 27389.00   145.00   146.00 26441.69
2025-09-16 22:00        8,957     0.00     5.00   339.00   145.00   232.44   335.42
2025-09-16 23:00        9,057     0.00     5.00   310.00   144.00   265.89   284.64
2025-09-17 00:00        8,891     0.00     6.00 24864.00   146.00   149.00 23421.15
2025-09-17 01:00        9,003     0.00     6.00   332.00   146.00   242.00   327.50
2025-09-17 02:00        8,964     0.00     6.00 27068.00   147.00   273.07 26166.32
2025-09-17 03:00        8,862     0.00     6.00   384.00   146.00   148.00   374.25
2025-09-17 04:00        8,800     0.00     7.00 26802.00   146.00   180.42 24233.57
2025-09-17 05:00        8,885     0.00     6.00 13200.00   146.00   199.93 13012.55
2025-09-17 06:00        9,067     0.00     6.00 24379.00   145.00   260.88 23130.61
2025-09-17 07:00        8,673     0.00     7.00 24891.00   146.00   248.98 24606.56
2025-09-17 08:00        9,314     0.00     6.00   306.00   144.00   194.72   294.82
2025-09-17 09:00        9,551     0.00     6.00 22698.00   146.00   254.30 22558.57
2025-09-17 10:00        9,341     0.00     6.00 10189.00   145.60   155.64  6655.68
2025-09-17 11:00        9,538     0.00     6.00 28275.00   146.00   264.26 26737.64
2025-09-17 12:00        9,506     0.00     6.00 26009.00   145.00   147.00 22503.56
2025-09-17 13:00        9,581     0.00     6.00   369.00   143.00   185.54   367.08
2025-09-17 14:00        9,634     0.00     6.00 24258.00   143.00   265.37 24241.62
